type d'organisme BOSPL,code pivot organisme,url 
Agence de l'environnement et de la maîtrise de l'énergie (Ademe) - Limousin,Environnement et maîtrise de l’énergie (réseau local de l’Ademe) << 61,ademe,http://www.ademe.fr/limousin
Agence de l'environnement et de la maîtrise de l'énergie (Ademe) - Lorraine,Environnement et maîtrise de l’énergie (réseau local de l’Ademe) << 61,ademe,http://www.lorraine.ademe.fr
Agence de l'environnement et de la maîtrise de l'énergie (Ademe) - Martinique,Environnement et maîtrise de l’énergie (réseau local de l’Ademe) << 61,ademe,http://www.martinique.ademe.fr
Agence de l'environnement et de la maîtrise de l'énergie (Ademe) - Midi-Pyrénées,Environnement et maîtrise de l’énergie (réseau local de l’Ademe) << 61,ademe,http://www.ademe.fr/midi-pyrenees
Agence de l'environnement et de la maîtrise de l'énergie (Ademe) - Nord-Pas-de-Calais,Environnement et maîtrise de l’énergie (réseau local de l’Ademe) << 61,ademe,http://www.ademe.fr
Agence de l'environnement et de la maîtrise de l'énergie (Ademe) - Pays - la Loire,Environnement et maîtrise de l’énergie (réseau local de l’Ademe) << 61,ademe,http://www.paysdelaloire.ademe.fr
Agence de l'environnement et de la maîtrise de l'énergie (Ademe) - Picardie,Environnement et maîtrise de l’énergie (réseau local de l’Ademe) << 61,ademe,http://www.ademe.fr
Agence de l'environnement et de la maîtrise de l'énergie (Ademe) - Poitou-Charentes,Environnement et maîtrise de l’énergie (réseau local de l’Ademe) << 61,ademe,http://www.ademe.fr/poitou-charentes
Agence de l'environnement et de la maîtrise de l'énergie (Ademe) - Provence-Alpes-Côte d'Azur,Environnement et maîtrise de l’énergie (réseau local de l’Ademe) << 61,ademe,http://www.ademe.fr/paca
Agence de l'environnement et de la maîtrise de l'énergie (Ademe) - Rhône-Alpes,Environnement et maîtrise de l’énergie (réseau local de l’Ademe) << 61,ademe,http://rhone-alpes.ademe.fr
Agence départementale d'information sur le logement (Adil) d'Eaubonne,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil95.org
Agence départementale d'information sur le logement (Adil) d'Ille-et-Vilaine,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil35.org
Agence départementale d'information sur le logement (Adil) de Cergy-Pontoise,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil95.org/modules.php?name=News&file=article&sid=144
Agence départementale d'information sur le logement (Adil) de Corse-du-Sud,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil2a.org
Agence départementale d'information sur le logement (Adil) de Draguignan,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil83.org
Agence départementale d'information sur le logement (Adil) de Haute-Garonne,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil31.org
Agence départementale d'information sur le logement (Adil) de Haute-Saône,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil70.org
Agence départementale d'information sur le logement (Adil) de l'Ain,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil01.org
Agence départementale d'information sur le logement (Adil) de l'Allier,"Information sur le logement (agence départementale, Adil)",adil,http://www.anil.org
Agence départementale d'information sur le logement (Adil) de l'Allier - Montluçon,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil03.org
Agence départementale d'information sur le logement (Adil) de l'Allier - Vichy,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil03.org
Agence départementale d'information sur le logement (Adil) de l'Aube,"Information sur le logement (agence départementale, Adil)",adil,http://www.anil.org
Agence départementale d'information sur le logement (Adil) de l'Aveyron,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil12.org
Agence départementale d'information sur le logement (Adil) de l'Essonne,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil91.org
Agence départementale d'information sur le logement (Adil) de l'Eure,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil27.org
Agence départementale d'information sur le logement (Adil) de l'Hérault,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil34.org
Agence départementale d'information sur le logement (Adil) de l'Hérault - Béziers,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil34.org
Agence départementale d'information sur le logement (Adil) de l'Indre,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil36.org
Agence départementale d'information sur le logement (Adil) de l'Oise,"Information sur le logement (agence départementale, Adil)",adil,http://www.anil60.org
Agence départementale d'information sur le logement (Adil) de l'Orne,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil61.org
Agence départementale d'information sur le logement (Adil) de l'Yonne,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil89.org
Agence départementale d'information sur le logement (Adil) de la Charente,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil16.org
Agence départementale d'information sur le logement (Adil) de la Charente-Maritime,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil17.org
Agence départementale d'information sur le logement (Adil) de la Corrèze,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil19.org
Agence départementale d'information sur le logement (Adil) de la Côte-d'Or,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil21.org
Agence départementale d'information sur le logement (Adil) de la Dordogne,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil24.org
Agence départementale d'information sur le logement (Adil) de la Drôme,"Information sur le logement (agence départementale, Adil)",adil,http://adil.dromenet.org
Agence départementale d'information sur le logement (Adil) de la Gironde,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil33.org
Agence départementale d'information sur le logement (Adil) de la Guadeloupe,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil971.org
Agence départementale d'information sur le logement (Adil) de la Haute-Savoie,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil74.org
Agence départementale d'information sur le logement (Adil) de la Haute-Vienne,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil87.org
Agence départementale d'information sur le logement (Adil) de la Mayenne,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil53.org
Agence départementale d'information sur le logement (Adil) de la Savoie,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil73.org
Agence départementale d'information sur le logement (Adil) de la Seine-Maritime,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil76.org
Agence départementale d'information sur le logement (Adil) de la Seine-Maritime,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil76.org
Agence départementale d'information sur le logement (Adil) de la Somme,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil80.org
Agence départementale d'information sur le logement (Adil) de la Vendée,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil85.org
Agence départementale d'information sur le logement (Adil) de la Vienne - Châtellerault,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil86.com
Agence départementale d'information sur le logement (Adil) de la Vienne - Poitiers,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil86.com
Agence départementale d'information sur le logement (Adil) deLla Réunion,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil974.com
Agence départementale d'information sur le logement (Adil) de Loire-Atlantique,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil44.fr
Agence départementale d'information sur le logement (Adil) de Loire-Atlantique,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil44.fr
Agence départementale d'information sur le logement (Adil) de Lozère,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil48.org
Agence départementale d'information sur le logement (Adil) de Maine-et-Loire,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil49.org
Agence départementale d'information sur le logement (Adil) de Nancy,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil.org
Agence départementale d'information sur le logement (Adil) de Paris,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil75.org
Agence départementale d'information sur le logement (Adil) des Alpes-Maritimes,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil06.org
Agence départementale d'information sur le logement (Adil) des Alpes-Maritimes - Nice,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil06.org
